Date,Consumption,Hour
24.01.2016,24899.5,S6
24.01.2016,24158.9,S7
24.01.2016,25160.1,S8
24.01.2016,27120.6,S9
24.01.2016,29164.4,S10
24.01.2016,30598.8,S11
24.01.2016,31038.4,S12
24.01.2016,31165.9,S13
24.01.2016,31104.8,S14
24.01.2016,30750.5,S15
24.01.2016,31481.2,S16
24.01.2016,32712.8,S17
24.01.2016,32774.9,S18
24.01.2016,32341.3,S19
24.01.2016,31820.1,S20
24.01.2016,31160.3,S21
24.01.2016,31284.9,S22
24.01.2016,30005.4,S23
25.01.2016,28167.5,S0
25.01.2016,26516.7,S1
25.01.2016,25339.4,S2
25.01.2016,24773.7,S3
25.01.2016,24711.6,S4
25.01.2016,25145.7,S5
25.01.2016,26151.1,S6
25.01.2016,27508.7,S7
25.01.2016,33543.4,S8
25.01.2016,37790.8,S9
25.01.2016,39415.3,S10
25.01.2016,40660.5,S11
25.01.2016,39734.4,S12
25.01.2016,39915.7,S13
25.01.2016,40026.6,S14
25.01.2016,39686.9,S15
